2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:52		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_21012020_080913.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-09-19/23:35:55		 wafer_23012020_041211.csv: File loaded successfully!!
